employee_id,department,pay_type,regular_hours,overtime_hours,hourly_rate,shift_type,approval_status
EMP-1358,Human Resources,Hourly,40.0,0.0,34.75,Day,Approved
EMP-1359,Facilities,Hourly,40.0,2.5,27.42,Night,Approved
EMP-1360,Human Resources,Hourly,40.0,0.0,33.03,Night,Approved
EMP-1361,Facilities,Salaried,40.0,0.0,47.97,Weekend Differential,Approved
EMP-1362,Facilities,Hourly,40.0,0.0,32.0,Day,Approved
EMP-1363,Customer Support,Hourly,40.0,12.0,25.65,Weekend Differential,Flagged-Manager Review
EMP-1364,Logistics,Salaried,40.0,0.0,49.51,Weekend Differential,Approved
EMP-1365,Human Resources,Hourly,40.0,5.0,34.43,Weekend Differential,Approved
EMP-1366,Operations,Salaried,40.0,0.0,42.95,Night,Approved
EMP-1367,Logistics,Hourly,40.0,0.0,33.89,Night,Approved
EMP-1368,Human Resources,Salaried,40.0,0.0,51.15,Night,Approved
EMP-1369,Logistics,Hourly,40.0,0.0,27.36,Weekend Differential,Approved
EMP-1370,Customer Support,Hourly,40.0,12.0,19.59,Day,Approved
EMP-1371,Logistics,Hourly,40.0,8.5,30.25,Night,Approved
EMP-1372,Operations,Hourly,40.0,8.5,34.13,Night,Approved
EMP-1373,Human Resources,Hourly,40.0,5.0,28.86,Weekend Differential,Approved
EMP-1374,Human Resources,Hourly,40.0,5.0,34.26,Day,Approved
EMP-1375,Facilities,Hourly,40.0,0.0,19.24,Day,Approved
EMP-1376,Facilities,Hourly,40.0,2.5,25.9,Weekend Differential,Approved
EMP-1377,Logistics,Hourly,40.0,12.0,30.21,Night,Flagged-Manager Review
EMP-1378,Logistics,Hourly,40.0,0.0,26.75,Night,Approved
EMP-1379,Logistics,Hourly,40.0,0.0,22.55,Day,Approved
EMP-1380,Operations,Hourly,40.0,8.5,34.07,Night,Approved
EMP-1381,Logistics,Salaried,40.0,0.0,53.34,Weekend Differential,Approved
EMP-1382,Customer Support,Hourly,40.0,8.5,20.71,Night,Flagged-Manager Review
EMP-1383,Customer Support,Hourly,40.0,5.0,19.53,Weekend Differential,Approved
EMP-1384,Facilities,Salaried,40.0,0.0,35.38,Night,Approved
EMP-1385,Operations,Hourly,40.0,12.0,26.41,Weekend Differential,Flagged-Manager Review
EMP-1386,Customer Support,Hourly,40.0,5.0,32.4,Day,Approved
EMP-1387,Customer Support,Hourly,40.0,2.5,30.99,Day,Approved
EMP-1388,Facilities,Hourly,40.0,2.5,27.55,Weekend Differential,Approved
EMP-1389,Customer Support,Hourly,40.0,8.5,26.57,Night,Approved
EMP-1390,Logistics,Salaried,40.0,0.0,39.85,Night,Approved
EMP-1391,Human Resources,Salaried,40.0,0.0,48.87,Day,Approved
EMP-1392,Human Resources,Hourly,40.0,0.0,26.5,Day,Approved
EMP-1393,Logistics,Hourly,40.0,8.5,31.67,Night,Approved
EMP-1394,Human Resources,Salaried,40.0,0.0,33.49,Weekend Differential,Approved
EMP-1395,Customer Support,Hourly,40.0,12.0,34.84,Night,Flagged-Manager Review
EMP-1396,Human Resources,Salaried,40.0,0.0,43.31,Weekend Differential,Approved
EMP-1397,Human Resources,Hourly,40.0,2.5,31.87,Night,Approved
EMP-1398,Operations,Salaried,40.0,0.0,44.59,Weekend Differential,Approved
EMP-1399,Operations,Hourly,40.0,12.0,22.51,Weekend Differential,Approved
EMP-1400,Operations,Hourly,40.0,12.0,20.9,Weekend Differential,Flagged-Manager Review
EMP-1401,Logistics,Salaried,40.0,0.0,36.05,Weekend Differential,Approved
EMP-1402,Operations,Hourly,40.0,5.0,25.5,Day,Approved
EMP-1403,Facilities,Hourly,40.0,8.5,24.98,Night,Approved
EMP-1404,Logistics,Hourly,40.0,12.0,27.54,Night,Flagged-Manager Review
EMP-1405,Customer Support,Salaried,40.0,0.0,41.49,Weekend Differential,Approved
EMP-1406,Customer Support,Hourly,40.0,12.0,29.49,Weekend Differential,Flagged-Manager Review
EMP-1407,Human Resources,Hourly,40.0,2.5,34.27,Weekend Differential,Approved
EMP-1408,Customer Support,Hourly,40.0,2.5,34.54,Night,Approved
EMP-1409,Logistics,Hourly,40.0,5.0,26.31,Night,Approved
EMP-1410,Human Resources,Salaried,40.0,0.0,49.89,Night,Approved
EMP-1411,Customer Support,Hourly,40.0,5.0,29.5,Night,Approved
EMP-1412,Customer Support,Salaried,40.0,0.0,50.12,Night,Approved
EMP-1413,Operations,Hourly,40.0,2.5,30.14,Night,Approved
EMP-1414,Customer Support,Hourly,40.0,8.5,21.64,Night,Flagged-Manager Review
EMP-1415,Logistics,Hourly,40.0,0.0,30.6,Day,Approved
EMP-1416,Operations,Hourly,40.0,12.0,27.03,Day,Approved
EMP-1417,Operations,Hourly,40.0,0.0,30.2,Weekend Differential,Approved
EMP-1418,Logistics,Hourly,40.0,0.0,27.36,Night,Approved
EMP-1419,Facilities,Hourly,40.0,2.5,21.39,Night,Approved
EMP-1420,Customer Support,Hourly,40.0,0.0,33.43,Weekend Differential,Approved
EMP-1421,Human Resources,Hourly,40.0,0.0,30.56,Day,Approved
EMP-1422,Facilities,Salaried,40.0,0.0,34.39,Day,Approved
EMP-1423,Facilities,Hourly,40.0,12.0,21.17,Night,Approved
EMP-1424,Operations,Hourly,40.0,2.5,28.25,Night,Approved
EMP-1425,Facilities,Salaried,40.0,0.0,43.58,Night,Approved
EMP-1426,Logistics,Salaried,40.0,0.0,41.7,Day,Approved
EMP-1427,Operations,Hourly,40.0,12.0,30.43,Night,Approved
EMP-1428,Operations,Hourly,40.0,8.5,31.44,Weekend Differential,Approved
EMP-1429,Logistics,Hourly,40.0,5.0,28.86,Night,Approved
EMP-1430,Human Resources,Hourly,40.0,0.0,24.81,Day,Approved
EMP-1431,Logistics,Hourly,40.0,0.0,33.91,Night,Approved
EMP-1432,Facilities,Hourly,40.0,2.5,30.81,Night,Approved
EMP-1433,Human Resources,Hourly,40.0,12.0,18.19,Night,Approved
EMP-1434,Operations,Hourly,40.0,0.0,25.91,Night,Approved
EMP-1435,Human Resources,Salaried,40.0,0.0,52.2,Night,Approved
EMP-1436,Operations,Hourly,40.0,2.5,33.99,Weekend Differential,Approved
EMP-1437,Logistics,Hourly,40.0,0.0,20.27,Night,Approved
EMP-1438,Human Resources,Hourly,40.0,5.0,29.93,Weekend Differential,Approved
EMP-1439,Logistics,Hourly,40.0,8.5,29.57,Day,Flagged-Manager Review
EMP-1440,Human Resources,Hourly,40.0,8.5,19.33,Day,Approved
EMP-1441,Human Resources,Salaried,40.0,0.0,35.05,Weekend Differential,Approved
EMP-1442,Logistics,Hourly,40.0,5.0,32.53,Day,Approved
EMP-1443,Logistics,Hourly,40.0,8.5,26.31,Night,Approved
EMP-1444,Facilities,Hourly,40.0,8.5,25.06,Day,Flagged-Manager Review
EMP-1445,Customer Support,Hourly,40.0,0.0,24.73,Weekend Differential,Approved
EMP-1446,Logistics,Hourly,40.0,2.5,18.77,Weekend Differential,Approved
EMP-1447,Operations,Hourly,40.0,0.0,19.02,Night,Approved
EMP-1448,Operations,Hourly,40.0,0.0,21.06,Weekend Differential,Approved
EMP-1449,Facilities,Hourly,40.0,5.0,33.15,Night,Approved
EMP-1450,Facilities,Hourly,40.0,8.5,34.39,Day,Flagged-Manager Review
EMP-1451,Operations,Hourly,40.0,8.5,27.13,Day,Approved
EMP-1452,Operations,Hourly,40.0,5.0,34.63,Weekend Differential,Approved
EMP-1453,Human Resources,Hourly,40.0,0.0,24.45,Day,Approved
EMP-1454,Facilities,Hourly,40.0,12.0,22.69,Day,Approved
EMP-1455,Facilities,Hourly,40.0,0.0,33.92,Day,Approved
EMP-1456,Logistics,Hourly,40.0,5.0,28.1,Weekend Differential,Approved
EMP-1457,Operations,Hourly,40.0,5.0,18.75,Day,Approved
EMP-1458,Human Resources,Hourly,40.0,0.0,32.68,Day,Approved
EMP-1459,Human Resources,Salaried,40.0,0.0,35.85,Weekend Differential,Approved
EMP-1460,Human Resources,Hourly,40.0,12.0,28.16,Night,Approved
EMP-1461,Customer Support,Salaried,40.0,0.0,54.64,Weekend Differential,Approved
EMP-1462,Logistics,Hourly,40.0,8.5,22.68,Weekend Differential,Approved
EMP-1463,Facilities,Hourly,40.0,2.5,18.8,Weekend Differential,Approved
EMP-1464,Facilities,Hourly,40.0,5.0,23.42,Night,Approved
EMP-1465,Logistics,Hourly,40.0,8.5,21.13,Night,Approved
EMP-1466,Logistics,Hourly,40.0,5.0,30.03,Day,Approved
EMP-1467,Human Resources,Hourly,40.0,8.5,25.08,Day,Flagged-Manager Review
EMP-1468,Logistics,Hourly,40.0,0.0,23.61,Night,Approved
EMP-1469,Customer Support,Hourly,40.0,0.0,30.32,Day,Approved
EMP-1470,Customer Support,Hourly,40.0,0.0,28.28,Day,Approved
EMP-1471,Logistics,Salaried,40.0,0.0,44.69,Weekend Differential,Approved
EMP-1472,Human Resources,Hourly,40.0,2.5,21.55,Night,Approved
EMP-1473,Operations,Hourly,40.0,12.0,21.23,Day,Flagged-Manager Review
EMP-1474,Logistics,Hourly,40.0,5.0,29.96,Day,Approved
EMP-1475,Human Resources,Hourly,40.0,5.0,22.81,Weekend Differential,Approved
EMP-1476,Customer Support,Hourly,40.0,5.0,24.11,Night,Approved
EMP-1477,Operations,Salaried,40.0,0.0,48.06,Night,Approved
EMP-1478,Logistics,Hourly,40.0,8.5,25.04,Day,Approved
EMP-1479,Operations,Hourly,40.0,8.5,33.89,Weekend Differential,Flagged-Manager Review
EMP-1480,Customer Support,Hourly,40.0,5.0,23.61,Weekend Differential,Approved
EMP-1481,Logistics,Hourly,40.0,12.0,29.13,Night,Flagged-Manager Review
EMP-1482,Facilities,Salaried,40.0,0.0,46.04,Night,Approved
EMP-1483,Facilities,Hourly,40.0,0.0,31.51,Day,Approved
EMP-1484,Human Resources,Hourly,40.0,8.5,33.59,Weekend Differential,Approved
EMP-1485,Human Resources,Hourly,40.0,12.0,32.39,Day,Approved
EMP-1486,Facilities,Hourly,40.0,0.0,28.72,Weekend Differential,Approved
EMP-1487,Logistics,Hourly,40.0,2.5,26.6,Day,Approved
EMP-1488,Human Resources,Hourly,40.0,5.0,33.88,Weekend Differential,Approved
EMP-1489,Facilities,Hourly,40.0,5.0,27.05,Day,Approved
EMP-1490,Operations,Hourly,40.0,2.5,22.67,Day,Approved
EMP-1491,Human Resources,Salaried,40.0,0.0,46.85,Day,Approved
EMP-1492,Operations,Salaried,40.0,0.0,43.11,Day,Approved
EMP-1493,Logistics,Hourly,40.0,2.5,22.29,Night,Approved
EMP-1494,Facilities,Hourly,40.0,5.0,34.31,Weekend Differential,Approved
EMP-1495,Logistics,Salaried,40.0,0.0,35.65,Weekend Differential,Approved
EMP-1496,Operations,Hourly,40.0,0.0,32.59,Day,Approved
EMP-1497,Facilities,Hourly,40.0,0.0,27.4,Weekend Differential,Approved
EMP-1498,Operations,Hourly,40.0,5.0,19.41,Weekend Differential,Approved
EMP-1499,Customer Support,Hourly,40.0,0.0,32.59,Weekend Differential,Approved
EMP-1500,Operations,Hourly,40.0,12.0,33.32,Weekend Differential,Flagged-Manager Review
